bucket	open	high	low	close	volume	count
2023-05-17T15:00:00+05:30	1164.0	1164.3	1161.4	1163.85	1551598	30
2023-05-18T09:00:00+05:30	1167.45	1170.95	1163.9	1167.95	2268244	45
2023-05-18T10:00:00+05:30	1167.95	1168.3	1163.2	1166.1	1089526	60
2023-05-18T11:00:00+05:30	1166.1	1168.8	1164.45	1167.85	1417872	60
2023-05-18T12:00:00+05:30	1167.85	1168.2	1161.7	1163.0	1444492	60
2023-05-18T13:00:00+05:30	1163.0	1166.8	1162.55	1165.2	800706	60
2023-05-18T14:00:00+05:30	1165.45	1167.6	1160.75	1162.3	1442206	60
2023-05-18T15:00:00+05:30	1162.3	1163.7	1156.8	1159.6	1608474	30
2023-05-19T09:00:00+05:30	1160.1	1164.15	1153.6	1154.45	1272896	45
2023-05-19T10:00:00+05:30	1155.2	1157.85	1152.8	1154.9	1322104	60
2023-05-19T11:00:00+05:30	1155.05	1163.6	1154.5	1162.4	961744	60
2023-05-19T12:00:00+05:30	1162.4	1162.75	1157.35	1157.65	1055176	60
2023-05-19T13:00:00+05:30	1157.65	1161.85	1157.4	1160.05	1095566	60
2023-05-19T14:00:00+05:30	1160.3	1164.9	1160.05	1163.8	973416	60
2023-05-19T15:00:00+05:30	1163.8	1165.7	1161.2	1164.8	1023888	30
2023-05-22T09:00:00+05:30	1160.5	1173.2	1159.7	1171.8	1123208	45
2023-05-22T10:00:00+05:30	1171.8	1173.0	1168.5	1171.95	717232	60
2023-05-22T11:00:00+05:30	1171.95	1174.8	1170.25	1172.4	1752670	60
2023-05-22T12:00:00+05:30	1172.4	1175.3	1170.2	1171.9	820442	60
2023-05-22T13:00:00+05:30	1171.95	1171.95	1165.3	1167.05	655222	60
2023-05-22T14:00:00+05:30	1167.3	1170.6	1165.8	1168.5	1350748	60
2023-05-22T15:00:00+05:30	1168.8	1171.3	1168.75	1169.8	695378	30
2023-05-23T09:00:00+05:30	1172.75	1175.5	1171.4	1174.2	894704	45
2023-05-23T10:00:00+05:30	1174.2	1176.25	1172.4	1174.3	794706	60
2023-05-23T11:00:00+05:30	1174.25	1175.1	1171.5	1173.8	540634	60
2023-05-23T12:00:00+05:30	1173.8	1175.2	1172.4	1174.6	393954	60
2023-05-23T13:00:00+05:30	1174.2	1175.2	1172.45	1172.95	656274	60
2023-05-23T14:00:00+05:30	1173.1	1173.9	1168.4	1170.8	1201308	60
2023-05-23T15:00:00+05:30	1170.8	1171.2	1168.5	1169.1	1334700	30
2023-05-24T09:00:00+05:30	1165.7	1169.6	1163.85	1169.2	1277284	45
2023-05-24T10:00:00+05:30	1169.0	1174.25	1168.8	1171.0	1366838	60
2023-05-24T11:00:00+05:30	1171.0	1171.6	1167.5	1167.9	957946	60
2023-05-24T12:00:00+05:30	1167.9	1168.6	1165.8	1166.7	828804	60
2023-05-24T13:00:00+05:30	1166.6	1167.2	1164.0	1164.8	995532	60
2023-05-24T14:00:00+05:30	1164.7	1166.55	1159.8	1160.75	1300124	60
2023-05-24T15:00:00+05:30	1160.75	1164.75	1160.7	1163.4	1061464	30
2023-05-25T09:00:00+05:30	1160.0	1161.7	1155.85	1158.65	1089948	45
2023-05-25T10:00:00+05:30	1158.65	1162.2	1157.55	1159.8	1129228	60
2023-05-25T11:00:00+05:30	1159.95	1160.5	1155.15	1156.45	1559852	60
2023-05-25T12:00:00+05:30	1156.45	1158.5	1153.7	1154.2	1082986	60
2023-05-25T13:00:00+05:30	1154.2	1154.55	1151.5	1153.1	861666	60
2023-05-25T14:00:00+05:30	1153.2	1158.1	1151.95	1158.1	2273416	60
2023-05-25T15:00:00+05:30	1158.1	1167.2	1158.1	1165.2	3037360	30
2023-05-26T09:00:00+05:30	1171.5	1184.1	1168.15	1183.1	2600032	45
2023-05-26T10:00:00+05:30	1183.1	1187.7	1182.8	1184.8	1611078	60
